K,rho,t_check,L_acum,W_acum
0,1.25,8298.77,0.000000,0.000000
0,1.25,8399.55,0.000000,0.000000
0,1.25,8498.50,0.000000,0.000000
0,1.25,8598.68,0.000000,0.000000
0,1.25,8698.57,0.000000,0.000000
0,1.25,8798.69,0.000000,0.000000
0,1.25,8898.69,0.000000,0.000000
0,1.25,8998.69,0.000000,0.000000
2,0.25,99.50,0.447437,1.712350
2,0.25,208.38,0.301692,1.232659
2,0.25,300.69,0.298407,1.300412
2,0.25,400.45,0.300703,1.323272
2,0.25,507.57,0.291710,1.265499
2,0.25,599.52,0.264226,1.173408
2,0.25,703.99,0.274979,1.202376
2,0.25,801.31,0.263944,1.149466
2,0.25,904.60,0.260186,1.153744
2,0.25,1002.63,0.269055,1.183165
2,0.25,1100.34,0.266634,1.132774
2,0.25,1201.23,0.263437,1.094983
2,0.25,1307.03,0.262486,1.103138
2,0.25,1401.55,0.270217,1.137306
2,0.25,1501.49,0.267835,1.139241
2,0.25,1623.08,0.255025,1.134044
2,0.25,1699.41,0.254220,1.128000
2,0.25,1802.84,0.261793,1.153962
2,0.25,1910.00,0.263890,1.153384
2,0.25,1999.56,0.263097,1.151155
2,0.25,2102.23,0.263124,1.145233
2,0.25,2201.24,0.261069,1.133482
2,0.25,2300.86,0.262673,1.138181
2,0.25,2399.99,0.267277,1.145469
2,0.25,2500.66,0.268561,1.147995
2,0.25,2600.12,0.270380,1.143119
2,0.25,2699.96,0.274300,1.162638
2,0.25,2814.00,0.273395,1.162133
2,0.25,2900.63,0.275599,1.170439
2,0.25,3005.98,0.273001,1.168997
2,0.25,3102.57,0.268861,1.155347
2,0.25,3202.93,0.270840,1.147459
2,0.25,3300.72,0.269760,1.138620
2,0.25,3401.44,0.271681,1.142283
2,0.25,3499.54,0.268785,1.133280
2,0.25,3601.75,0.265797,1.122317
2,0.25,3699.53,0.265577,1.119031
2,0.25,3799.56,0.270617,1.132408
2,0.25,3903.58,0.271047,1.141372
2,0.25,4000.98,0.269605,1.140258
2,0.25,4100.19,0.267903,1.138292
2,0.25,4212.94,0.265422,1.128363
2,0.25,4299.85,0.265112,1.126426
2,0.25,4411.90,0.262569,1.122506
2,0.25,4501.13,0.263667,1.125996
2,0.25,4606.71,0.265242,1.132432
2,0.25,4700.05,0.267527,1.138943
2,0.25,4803.56,0.265360,1.132037
2,0.25,4900.42,0.265795,1.130648
2,0.25,5001.47,0.265398,1.124900
2,0.25,5101.49,0.265835,1.126376
2,0.25,5205.88,0.271447,1.142377
2,0.25,5299.72,0.273393,1.146286
2,0.25,5406.43,0.274716,1.146013
2,0.25,5500.85,0.275005,1.151263
2,0.25,5600.62,0.274853,1.153934
2,0.25,5702.44,0.275001,1.153920
2,0.25,5799.81,0.275221,1.154180
2,0.25,5902.80,0.272460,1.147947
2,0.25,6002.25,0.275193,1.154280
2,0.25,6103.29,0.275376,1.153532
2,0.25,6200.68,0.272493,1.148636
2,0.25,6305.74,0.276176,1.157137
2,0.25,6401.56,0.276004,1.157077
2,0.25,6500.75,0.273587,1.153386
2,0.25,6600.33,0.272021,1.145776
2,0.25,6706.54,0.271574,1.146206
2,0.25,6810.77,0.271332,1.149243
2,0.25,6905.02,0.271947,1.154147
2,0.25,7002.94,0.272704,1.160932
2,0.25,7099.97,0.273049,1.163651
2,0.25,7202.71,0.274066,1.166676
2,0.25,7300.95,0.275535,1.172987
2,0.25,7410.26,0.276927,1.175988
2,0.25,7499.98,0.277879,1.180116
2,0.25,7606.61,0.276031,1.177601
2,0.25,7699.92,0.277417,1.178206
2,0.25,7801.06,0.277196,1.175869
2,0.25,7900.22,0.278029,1.180272
2,0.25,8003.31,0.279348,1.182290
2,0.25,8100.03,0.281000,1.182391
2,0.25,8200.24,0.281500,1.183170
2,0.25,8301.41,0.280806,1.179698
2,0.25,8400.86,0.280831,1.180792
2,0.25,8500.86,0.280337,1.178007
2,0.25,8601.50,0.281504,1.183459
2,0.25,8699.42,0.279971,1.178890
2,0.25,8799.56,0.280367,1.179307
2,0.25,8900.89,0.279685,1.178713
2,0.25,9003.85,0.279041,1.180106
2,0.50,100.91,0.546862,0.904670
2,0.50,199.54,0.528931,1.044987
2,0.50,301.43,0.543420,1.231594
2,0.50,401.73,0.559151,1.321348
2,0.50,499.79,0.561008,1.304132
2,0.50,600.02,0.567696,1.310105
2,0.50,699.99,0.577322,1.333719
2,0.50,799.81,0.590752,1.349968
2,0.50,900.51,0.587190,1.345464
2,0.50,1002.94,0.584094,1.359196
2,0.50,1099.54,0.569082,1.331341
2,0.50,1200.29,0.567333,1.297072
2,0.50,1300.11,0.567623,1.285663
2,0.50,1400.00,0.570353,1.285819
2,0.50,1499.60,0.577440,1.312013
2,0.50,1599.78,0.587485,1.340722
2,0.50,1699.78,0.583105,1.326837
2,0.50,1801.12,0.579047,1.320170
2,0.50,1901.05,0.573110,1.322224
2,0.50,1999.93,0.567697,1.308011
2,0.50,2099.64,0.557716,1.278390
2,0.50,2201.71,0.568691,1.304262
2,0.50,2303.62,0.569884,1.298513
2,0.50,2399.68,0.575176,1.318281
2,0.50,2502.31,0.582893,1.332033
2,0.50,2601.28,0.577177,1.319331
2,0.50,2699.62,0.576244,1.320580
2,0.50,2799.73,0.574062,1.313088
2,0.50,2899.75,0.575592,1.317343
2,0.50,3004.28,0.569118,1.311190
2,0.50,3103.01,0.562653,1.312721
2,0.50,3205.04,0.562597,1.321955
2,0.50,3299.97,0.561994,1.322798
2,0.50,3399.61,0.563087,1.321100
2,0.50,3501.47,0.562526,1.322812
2,0.50,3601.10,0.564881,1.326936
2,0.50,3701.57,0.564925,1.328534
2,0.50,3801.09,0.569162,1.332165
2,0.50,3900.30,0.571410,1.332141
2,0.50,4002.14,0.578547,1.348529
2,0.50,4103.15,0.580231,1.348880
2,0.50,4200.31,0.578428,1.351265
2,0.50,4303.38,0.583490,1.361702
2,0.50,4399.78,0.579903,1.351400
2,0.50,4499.77,0.576276,1.349876
2,0.50,4601.38,0.579609,1.357253
2,0.50,4700.27,0.579203,1.353086
2,0.50,4800.62,0.575868,1.344614
2,0.50,4900.17,0.575822,1.350708
2,0.50,4999.82,0.572575,1.345921
2,0.50,5101.00,0.574368,1.349540
2,0.50,5202.24,0.572831,1.345982
2,0.50,5299.58,0.570893,1.342279
2,0.50,5400.33,0.574085,1.347347
2,0.50,5500.97,0.574409,1.347466
2,0.50,5599.72,0.574511,1.348323
2,0.50,5704.43,0.575468,1.345927
2,0.50,5800.77,0.571923,1.344790
2,0.50,5902.88,0.572821,1.345521
2,0.50,6000.35,0.570656,1.342799
2,0.50,6100.21,0.572214,1.344617
2,0.50,6201.91,0.571022,1.343994
2,0.50,6302.40,0.571947,1.341011
2,0.50,6399.64,0.570659,1.338223
2,0.50,6503.63,0.572052,1.340692
2,0.50,6602.30,0.571347,1.336241
2,0.50,6699.53,0.570463,1.335373
2,0.50,6800.42,0.572639,1.338669
2,0.50,6900.61,0.573220,1.338603
2,0.50,6999.54,0.577280,1.346898
2,0.50,7101.79,0.576328,1.343717
2,0.50,7205.17,0.577744,1.348474
2,0.50,7301.28,0.577004,1.351144
2,0.50,7399.96,0.574674,1.344898
2,0.50,7501.59,0.575680,1.344493
2,0.50,7600.73,0.576065,1.347235
2,0.50,7700.28,0.578427,1.353814
2,0.50,7800.52,0.580333,1.359429
2,0.50,7900.86,0.579607,1.360081
2,0.50,8000.83,0.581469,1.359905
2,0.50,8103.29,0.580934,1.361328
2,0.50,8199.59,0.581739,1.362086
2,0.50,8300.32,0.580844,1.358465
2,0.50,8401.13,0.581252,1.359837
2,0.50,8499.91,0.582219,1.364437
2,0.50,8602.43,0.580203,1.359617
2,0.50,8700.44,0.580445,1.358292
2,0.50,8805.54,0.580381,1.356668
2,0.50,8903.25,0.579526,1.354244
2,0.50,8999.75,0.579797,1.351472
2,0.75,99.20,0.960775,1.765004
2,0.75,199.32,0.826972,1.408849
2,0.75,301.35,0.849242,1.437753
2,0.75,399.08,0.851494,1.433819
2,0.75,499.32,0.844630,1.464363
2,0.75,600.25,0.819665,1.389834
2,0.75,699.51,0.799343,1.328146
2,0.75,799.43,0.778921,1.299988
2,0.75,899.25,0.798753,1.360379
2,0.75,998.97,0.824193,1.400249
2,0.75,1099.18,0.839522,1.421861
2,0.75,1200.00,0.835538,1.404261
2,0.75,1299.37,0.831387,1.406616
2,0.75,1400.04,0.837841,1.409873
2,0.75,1498.98,0.837655,1.418789
2,0.75,1599.66,0.832857,1.408335
2,0.75,1699.37,0.836440,1.411542
2,0.75,1801.87,0.835078,1.415526
2,0.75,1900.31,0.837881,1.433158
2,0.75,2000.09,0.830260,1.443996
2,0.75,2098.85,0.839692,1.461352
2,0.75,2199.20,0.854868,1.488540
2,0.75,2299.48,0.859442,1.506306
2,0.75,2399.10,0.862774,1.505367
2,0.75,2500.82,0.863198,1.498059
2,0.75,2599.07,0.861978,1.495554
2,0.75,2699.12,0.850399,1.478949
2,0.75,2798.93,0.847491,1.475165
2,0.75,2898.94,0.834610,1.461043
2,0.75,2999.07,0.835861,1.465970
2,0.75,3098.99,0.840552,1.473337
2,0.75,3198.94,0.837933,1.475231
2,0.75,3299.18,0.839330,1.474493
2,0.75,3400.98,0.841449,1.478942
2,0.75,3498.90,0.841453,1.475032
2,0.75,3599.87,0.843449,1.477523
